Request_ID,Synthetic_Record_ID,Request_Type,Source_Channel,Priority,Received_Date,Owner_Queue,Assigned_Owner,Due_Date,Status,First_Touch_Hours,Handling_Minutes,Escalation_Type,Human_Review_Required,Classification_Confidence,Completed_Date,Overdue
WQ-1001,SYN-5001,Prior Authorization,Portal,High,2026-08-03 12:15,Authorization Team,T. Brooks,2026-08-04 12:15,Completed,8.5,4.9,None,No,0.96,2026-08-03 17:30,No
WQ-1002,SYN-5002,Referral,Phone,Standard,2026-08-20 11:45,Referral Team,R. Allen,2026-08-22 11:45,Completed,10.7,4.6,None,No,0.94,2026-08-20 17:15,No
WQ-1003,SYN-5003,Administrative Patient Message,Fax,Standard,2026-08-13 12:15,Patient Support,E. Scott,2026-08-14 12:15,Completed,1.8,6.1,None,No,0.96,2026-08-13 22:42,No
WQ-1004,SYN-5004,Referral,Internal Message,Standard,2026-08-26 15:00,Referral Team,M. Cole,2026-08-28 15:00,Completed,11.7,5.6,None,No,0.92,2026-08-27 06:36,No
WQ-1005,SYN-5005,Documentation Follow-up,Email,Standard,2026-08-21 11:00,Clinical Support,C. Hall,2026-08-23 11:00,Completed,12.0,5.2,Human Review,Yes,0.68,2026-08-21 22:58,No
WQ-1006,SYN-5006,Documentation Follow-up,Portal,Standard,2026-08-08 13:30,Clinical Support,C. Hall,2026-08-10 13:30,Completed,8.7,3.8,None,No,0.91,2026-08-08 19:15,No
WQ-1007,SYN-5007,Records Request,Phone,Standard,2026-08-08 15:45,Records,K. Lewis,2026-08-11 15:45,Completed,9.7,5.5,None,No,0.98,2026-08-09 00:37,No
WQ-1008,SYN-5008,Referral,Fax,Standard,2026-08-28 13:45,Referral Team,M. Cole,2026-08-30 13:45,Completed,3.4,3.1,None,No,0.9,2026-08-29 02:43,No
WQ-1009,SYN-5009,Medication Workflow — Administrative,Internal Message,High,2026-08-07 12:15,Clinical Support,N. King,2026-08-07 12:15,Completed,10.6,3.3,None,No,0.94,2026-08-07 15:15,No
WQ-1010,SYN-5010,Scheduling Follow-up,Email,Standard,2026-08-19 15:00,Scheduling,J. Green,2026-08-20 15:00,Completed,9.0,5.1,None,No,0.97,2026-08-20 04:05,No
WQ-1011,SYN-5011,Administrative Patient Message,Portal,Standard,2026-08-22 09:45,Patient Support,B. Ward,2026-08-23 09:45,Completed,13.6,4.6,None,No,0.99,2026-08-22 21:50,No
WQ-1012,SYN-5012,Billing Question,Phone,Standard,2026-08-27 13:00,Billing Support,D. Hill,2026-08-29 13:00,Completed,13.4,4.4,None,No,0.9,2026-08-28 10:16,No
